DateTime,Score
2021-11-18-03-38,71.3682
2021-11-18-03-39,74.86919999999994
2021-11-18-03-42,91.66169999999994
2021-11-18-03-44,91.0490999999999
2021-11-18-03-45,93.79009999999991
2021-11-18-03-58,80.54169999999995
2021-11-18-03-59,80.40369999999993
2021-11-18-04-01,87.2077
2021-11-18-04-13,108.69339999999994
2021-11-18-04-15,104.70199999999997
2021-11-18-04-16,106.16760000000001
2021-11-18-04-29,70.90699999999995
2021-11-18-04-30,81.64819999999996
2021-11-18-04-32,82.07859999999997
2021-11-18-04-44,53.96860000000006
2021-11-18-04-46,61.34790000000008
2021-11-18-04-47,60.66270000000004
2021-11-18-05-00,78.49699999999994
2021-11-18-05-01,73.11259999999999
2021-11-18-05-02,74.13030000000003
2021-11-18-05-15,31.997100000000014
2021-11-18-05-16,24.6489
2021-11-18-05-18,31.6861
2021-11-18-05-30,52.789899999999996
2021-11-18-05-32,55.0477
2021-11-18-05-33,54.54229999999997
2021-11-18-05-46,44.9918
2021-11-18-05-47,45.89869999999996
2021-11-18-05-49,49.82969999999997
2021-11-18-06-01,45.83460000000002
2021-11-18-06-03,49.99910000000001
2021-11-18-06-04,60.01089999999999
2021-11-18-06-17,66.54000000000005
2021-11-18-06-18,70.9969000000001
2021-11-18-06-20,75.43430000000008
2021-11-18-06-32,77.85269999999997
2021-11-18-06-34,79.16820000000003
2021-11-18-06-35,77.4779
2021-11-18-06-48,68.75070000000001
2021-11-18-06-49,63.90470000000003
2021-11-18-06-51,64.49900000000005
2021-11-18-07-03,59.2985
2021-11-18-07-05,62.726900000000015
2021-11-18-07-06,64.73319999999998
2021-11-18-07-18,69.47879999999999
2021-11-18-07-20,68.0994
2021-11-18-07-21,69.5508
2021-11-18-07-34,76.38779999999994
2021-11-18-07-35,77.69599999999994
2021-11-18-07-49,76.73149999999997
2021-11-18-07-51,77.57249999999999
2021-11-18-07-52,83.19890000000005
2021-11-18-08-05,85.71700000000003
2021-11-18-08-06,86.906
2021-11-18-08-08,88.84820000000003
2021-11-18-08-20,86.1965
2021-11-18-08-22,87.51979999999998
2021-11-18-08-36,100.13969999999985
2021-11-18-08-37,99.63769999999985
2021-11-18-08-51,101.58139999999983
2021-11-18-08-53,103.14809999999983
2021-11-18-08-54,101.56829999999985
2021-11-18-09-06,112.48769999999985
2021-11-18-09-08,110.56709999999985
2021-11-18-09-09,106.63299999999988
2021-11-18-09-22,106.08439999999992
2021-11-18-09-23,104.8658999999999
2021-11-18-09-37,90.63419999999995
2021-11-18-09-39,93.25539999999992
2021-11-18-09-53,74.6649
2021-11-18-09-54,75.19569999999997
2021-11-18-10-08,71.98929999999999
2021-11-18-10-10,70.68379999999999
2021-11-18-10-11,69.81979999999999
2021-11-18-10-24,66.20639999999996
2021-11-18-10-25,69.48039999999997
