DateTime,Score
2021-11-18-03-38,72.17470000000003
2021-11-18-03-39,76.09420000000001
2021-11-18-03-42,65.54330000000004
2021-11-18-03-44,60.378700000000016
2021-11-18-03-45,61.07290000000001
2021-11-18-03-58,84.05709999999992
2021-11-18-03-59,89.13539999999993
2021-11-18-04-01,92.0659
2021-11-18-04-13,89.66769999999987
2021-11-18-04-15,98.39259999999989
2021-11-18-04-16,91.24479999999993
2021-11-18-04-29,72.64289999999997
2021-11-18-04-30,76.75130000000001
2021-11-18-04-31,79.8921
2021-11-18-04-44,76.09020000000002
2021-11-18-04-45,78.64859999999996
2021-11-18-04-47,77.89829999999998
2021-11-18-04-59,59.14429999999998
2021-11-18-05-01,67.94159999999991
2021-11-18-05-02,71.38609999999994
2021-11-18-05-15,86.00049999999996
2021-11-18-05-16,84.00089999999997
2021-11-18-05-18,81.57289999999996
2021-11-18-05-30,65.91149999999998
2021-11-18-05-32,66.22830000000002
2021-11-18-05-33,64.85830000000001
2021-11-18-05-46,70.28569999999998
2021-11-18-05-47,71.64049999999993
2021-11-18-05-49,74.30099999999992
2021-11-18-06-01,83.39959999999998
2021-11-18-06-03,85.8012
2021-11-18-06-04,84.19439999999994
2021-11-18-06-17,84.75810000000008
2021-11-18-06-18,85.94970000000005
2021-11-18-06-20,82.43910000000002
2021-11-18-06-32,76.06519999999999
2021-11-18-06-34,79.08909999999996
2021-11-18-06-35,86.05309999999999
2021-11-18-06-47,89.60039999999992
2021-11-18-06-49,89.64919999999992
2021-11-18-06-50,88.61689999999993
2021-11-18-07-03,72.67020000000002
2021-11-18-07-04,75.62440000000007
2021-11-18-07-06,76.58140000000002
2021-11-18-07-18,74.6551
2021-11-18-07-20,73.0468
2021-11-18-07-21,72.753
2021-11-18-07-34,60.76229999999997
2021-11-18-07-35,60.47680000000002
2021-11-18-07-37,60.845900000000015
2021-11-18-07-49,74.35590000000005
2021-11-18-07-51,78.00890000000001
2021-11-18-07-52,79.39789999999998
2021-11-18-08-05,90.48719999999994
2021-11-18-08-06,89.25859999999996
2021-11-18-08-08,89.26879999999996
2021-11-18-08-20,92.95660000000002
2021-11-18-08-22,96.58970000000001
2021-11-18-08-23,97.7549
2021-11-18-08-36,109.19009999999996
2021-11-18-08-37,112.48789999999994
2021-11-18-08-39,113.65409999999996
2021-11-18-08-51,117.40989999999995
2021-11-18-08-52,114.22419999999994
2021-11-18-08-54,115.06739999999995
2021-11-18-09-06,111.46100000000004
2021-11-18-09-08,111.16700000000006
2021-11-18-09-09,109.72600000000003
2021-11-18-09-22,124.9015000000001
2021-11-18-09-23,126.53860000000013
2021-11-18-09-25,126.33020000000013
2021-11-18-09-37,127.55790000000006
2021-11-18-09-39,126.17280000000008
2021-11-18-09-40,124.96480000000008
2021-11-18-09-53,138.58930000000007
2021-11-18-09-54,136.0561000000001
2021-11-18-09-56,132.29990000000012
2021-11-18-10-08,131.60970000000017
2021-11-18-10-10,130.30140000000017
2021-11-18-10-11,129.43280000000016
2021-11-18-10-24,133.5966999999999
2021-11-18-10-25,132.6465999999999
2021-11-18-10-27,129.91799999999992
2021-11-18-10-39,143.78929999999966
2021-11-18-10-40,141.47019999999966
