,Unnamed: 0,int64_field_0,DateTime,Score,city
1,1,0,2021-03-26,77.89719999999998,Chicago
7,7,1,2021-03-28,75.6107,Chicago
13,13,2,2021-03-29,91.5234,Chicago
18,18,3,2021-03-30,96.56309999999996,Chicago
25,25,4,2021-03-31,90.7666999999999,Chicago
31,31,5,2021-04-01,85.23020000000001,Chicago
36,36,6,2021-04-02,85.41730000000008,Chicago
43,43,7,2021-04-03,88.29740000000001,Chicago
48,48,8,2021-04-04,75.6278,Chicago
55,55,9,2021-04-05,78.4512,Chicago
61,61,10,2021-04-06,87.819,Chicago
67,67,11,2021-04-08,93.03819999999992,Chicago
73,73,12,2021-04-09,88.74459999999989,Chicago
79,79,13,2021-04-10,91.46919999999992,Chicago
84,84,14,2021-04-11,99.64459999999995,Chicago
91,91,15,2021-04-12,94.2346,Chicago
96,96,16,2021-04-13,101.55669999999988,Chicago
102,102,17,2021-04-14,79.62269999999997,Chicago
108,108,18,2021-04-15,84.89829999999992,Chicago
114,114,19,2021-04-16,86.3739,Chicago
121,121,20,2021-04-17,51.2858,Chicago
127,127,21,2021-04-19,43.75059999999999,Chicago
133,133,22,2021-04-20,38.5681,Chicago
138,138,23,2021-04-21,46.1075,Chicago
144,144,24,2021-04-22,40.5863,Chicago
150,150,25,2021-04-23,36.87839999999999,Chicago
156,156,26,2021-04-24,22.164600000000007,Chicago
162,162,27,2021-04-25,31.926200000000016,Chicago
169,169,28,2021-04-26,41.50120000000001,Chicago
174,174,29,2021-04-27,94.17559999999992,Chicago
181,181,30,2021-04-28,100.488,Chicago
186,186,31,2021-04-30,94.99269999999994,Chicago
193,193,32,2021-05-01,79.12439999999994,Chicago
199,199,33,2021-05-02,80.52879999999992,Chicago
204,204,34,2021-05-03,70.16220000000001,Chicago
211,211,35,2021-05-04,73.10249999999998,Chicago
217,217,36,2021-05-05,74.98409999999997,Chicago
223,223,37,2021-05-06,77.03319999999998,Chicago
228,228,38,2021-05-07,55.21800000000002,Chicago
235,235,39,2021-05-08,67.00060000000006,Chicago
241,241,40,2021-05-09,62.08539999999999,Chicago
247,247,41,2021-05-11,82.93319999999987,Chicago
252,252,42,2021-05-12,75.25800000000001,Chicago
259,259,43,2021-05-13,80.80350000000003,Chicago
265,265,44,2021-05-14,72.01790000000001,Chicago
270,270,45,2021-05-15,66.27540000000003,Chicago
276,276,46,2021-05-16,67.65289999999997,Chicago
283,283,47,2021-05-17,72.72299999999998,Chicago
288,288,48,2021-05-18,72.37559999999996,Chicago
294,294,49,2021-05-19,72.89119999999996,Chicago
301,301,50,2021-05-20,75.8003,Chicago
306,306,51,2021-05-22,72.06139999999996,Chicago
313,313,52,2021-05-23,78.52210000000004,Chicago
318,318,53,2021-05-24,64.57089999999998,Chicago
325,325,54,2021-05-25,64.21749999999999,Chicago
331,331,55,2021-05-26,64.30609999999999,Chicago
336,336,56,2021-05-27,72.81690000000009,Chicago
343,343,57,2021-05-28,73.78270000000006,Chicago
349,349,58,2021-05-29,76.49520000000004,Chicago
354,354,59,2021-05-30,70.90870000000007,Chicago
361,361,60,2021-05-31,76.61610000000002,Chicago
367,367,61,2021-06-02,78.42400000000002,Chicago
373,373,62,2021-06-03,79.2132,Chicago
379,379,63,2021-06-04,78.98019999999995,Chicago
385,385,64,2021-06-05,77.81579999999998,Chicago
390,390,65,2021-06-06,89.16459999999974,Chicago
397,397,66,2021-06-07,88.0577999999998,Chicago
403,403,67,2021-06-08,84.53829999999985,Chicago
409,409,68,2021-06-09,77.16890000000004,Chicago
415,415,69,2021-06-10,77.42179999999996,Chicago
420,420,70,2021-06-11,70.5759,Chicago
426,426,71,2021-06-13,74.66540000000006,Chicago
432,432,72,2021-06-14,72.2434,Chicago
439,439,73,2021-06-15,71.5468,Chicago
444,444,74,2021-06-16,71.81339999999994,Chicago
450,450,75,2021-06-17,73.62499999999997,Chicago
457,457,76,2021-06-18,72.27900000000001,Chicago
462,462,77,2021-06-19,81.05200000000006,Chicago
468,468,78,2021-06-20,75.78020000000008,Chicago
475,475,79,2021-06-21,80.16940000000008,Chicago
480,480,80,2021-06-22,85.72899999999996,Chicago
487,487,81,2021-06-24,81.11599999999999,Chicago
493,493,82,2021-06-25,85.86149999999998,Chicago
499,499,83,2021-06-26,87.9286000000001,Chicago
504,504,84,2021-06-27,87.81070000000014,Chicago
511,511,85,2021-06-28,91.44420000000017,Chicago
517,517,86,2021-06-29,108.91709999999972,Chicago
523,523,87,2021-06-30,111.00479999999968,Chicago
528,528,88,2021-07-01,110.67009999999966,Chicago
534,534,89,2021-07-02,103.10409999999987,Chicago
541,541,90,2021-07-03,100.35839999999992,Chicago
546,546,91,2021-07-05,99.00469999999994,Chicago
552,552,92,2021-07-06,70.97160000000007,Chicago
558,558,93,2021-07-07,70.99030000000005,Chicago
565,565,94,2021-07-08,71.77480000000006,Chicago
571,571,95,2021-07-09,88.02520000000001,Chicago
577,577,96,2021-07-10,95.24200000000002,Chicago
582,582,97,2021-07-11,93.4853,Chicago
588,588,98,2021-07-12,123.11019999999984,Chicago
594,594,99,2021-07-13,124.68749999999982,Chicago
600,600,100,2021-07-14,126.89939999999974,Chicago
606,606,101,2021-07-16,109.48099999999982,Chicago
613,613,102,2021-07-17,100.57889999999983,Chicago
618,618,103,2021-07-18,97.58069999999984,Chicago
624,624,104,2021-07-19,141.83539999999985,Chicago
630,630,105,2021-07-20,147.30599999999987,Chicago
636,636,106,2021-07-21,144.24199999999988,Chicago
642,642,107,2021-07-22,102.51399999999995,Chicago
649,649,108,2021-07-23,94.15379999999996,Chicago
655,655,109,2021-07-24,101.6603,Chicago
661,661,110,2021-07-25,106.50889999999984,Chicago
666,666,111,2021-07-27,100.98379999999986,Chicago
673,673,112,2021-07-28,85.94609999999997,Chicago
678,678,113,2021-07-29,89.00090000000006,Chicago
684,684,114,2021-07-30,84.72060000000009,Chicago
