,Unnamed: 0,int64_field_0,DateTime,Score,city
2,2,0,2021-03-26,71.3682,Dallas
8,8,1,2021-03-28,74.86919999999994,Dallas
17,17,2,2021-03-29,91.66169999999994,Dallas
21,21,3,2021-03-30,91.0490999999999,Dallas
29,29,4,2021-03-31,93.79009999999992,Dallas
34,34,5,2021-04-01,80.54169999999995,Dallas
39,39,6,2021-04-02,80.40369999999993,Dallas
46,46,7,2021-04-03,87.2077,Dallas
52,52,8,2021-04-04,108.69339999999994,Dallas
58,58,9,2021-04-05,104.70199999999996,Dallas
64,64,10,2021-04-06,106.1676,Dallas
69,69,11,2021-04-08,70.90699999999995,Dallas
75,75,12,2021-04-09,81.64819999999996,Dallas
82,82,13,2021-04-10,82.07859999999997,Dallas
88,88,14,2021-04-11,53.96860000000006,Dallas
94,94,15,2021-04-12,61.34790000000008,Dallas
99,99,16,2021-04-13,60.66270000000004,Dallas
106,106,17,2021-04-14,78.49699999999994,Dallas
112,112,18,2021-04-15,73.11259999999999,Dallas
117,117,19,2021-04-16,74.13030000000003,Dallas
123,123,20,2021-04-17,31.99710000000001,Dallas
130,130,21,2021-04-19,24.6489,Dallas
136,136,22,2021-04-20,31.6861,Dallas
142,142,23,2021-04-21,52.7899,Dallas
148,148,24,2021-04-22,55.0477,Dallas
153,153,25,2021-04-23,54.54229999999997,Dallas
159,159,26,2021-04-24,44.9918,Dallas
166,166,27,2021-04-25,45.89869999999996,Dallas
172,172,28,2021-04-26,49.82969999999997,Dallas
177,177,29,2021-04-27,45.834600000000016,Dallas
183,183,30,2021-04-28,49.999100000000006,Dallas
190,190,31,2021-04-30,60.01089999999999,Dallas
196,196,32,2021-05-01,66.54000000000005,Dallas
201,201,33,2021-05-02,70.9969000000001,Dallas
207,207,34,2021-05-03,75.43430000000008,Dallas
213,213,35,2021-05-04,77.85269999999997,Dallas
220,220,36,2021-05-05,79.16820000000001,Dallas
226,226,37,2021-05-06,77.4779,Dallas
232,232,38,2021-05-07,68.75070000000001,Dallas
238,238,39,2021-05-08,63.90470000000003,Dallas
244,244,40,2021-05-09,64.49900000000005,Dallas
249,249,41,2021-05-11,59.2985,Dallas
256,256,42,2021-05-12,62.726900000000015,Dallas
262,262,43,2021-05-13,64.73319999999998,Dallas
268,268,44,2021-05-14,69.47879999999999,Dallas
273,273,45,2021-05-15,68.0994,Dallas
279,279,46,2021-05-16,69.5508,Dallas
285,285,47,2021-05-17,76.38779999999994,Dallas
292,292,48,2021-05-18,77.69599999999994,Dallas
298,298,49,2021-05-19,76.73149999999998,Dallas
304,304,50,2021-05-20,77.57249999999999,Dallas
310,310,51,2021-05-22,83.19890000000005,Dallas
316,316,52,2021-05-23,85.71700000000001,Dallas
