,Unnamed: 0,int64_field_0,DateTime,Score,city
0,0,0,2021-03-26,85.08640000000001,Los Angeles
6,6,1,2021-03-28,89.82309999999998,Los Angeles
12,12,2,2021-03-29,108.09190000000002,Los Angeles
19,19,3,2021-03-30,98.6623,Los Angeles
24,24,4,2021-03-31,101.56099999999988,Los Angeles
30,30,5,2021-04-01,97.2262,Los Angeles
37,37,6,2021-04-02,95.53319999999997,Los Angeles
42,42,7,2021-04-03,86.9295,Los Angeles
49,49,8,2021-04-04,92.8458,Los Angeles
54,54,9,2021-04-05,88.80049999999999,Los Angeles
60,60,10,2021-04-06,92.79370000000004,Los Angeles
66,66,11,2021-04-08,104.65210000000005,Los Angeles
72,72,12,2021-04-09,89.24110000000003,Los Angeles
78,78,13,2021-04-10,71.79029999999995,Los Angeles
85,85,14,2021-04-11,98.47880000000004,Los Angeles
90,90,15,2021-04-12,90.25749999999996,Los Angeles
97,97,16,2021-04-13,89.25179999999986,Los Angeles
103,103,17,2021-04-14,84.75000000000009,Los Angeles
109,109,18,2021-04-15,83.64329999999993,Los Angeles
115,115,19,2021-04-16,85.05819999999994,Los Angeles
120,120,20,2021-04-17,87.88429999999998,Los Angeles
126,126,21,2021-04-19,91.10019999999992,Los Angeles
132,132,22,2021-04-20,91.3766,Los Angeles
139,139,23,2021-04-21,95.86309999999992,Los Angeles
145,145,24,2021-04-22,96.48449999999988,Los Angeles
151,151,25,2021-04-23,103.94319999999982,Los Angeles
157,157,26,2021-04-24,82.94709999999998,Los Angeles
163,163,27,2021-04-25,82.49730000000005,Los Angeles
168,168,28,2021-04-26,81.9429,Los Angeles
175,175,29,2021-04-27,88.59129999999996,Los Angeles
180,180,30,2021-04-28,84.03910000000003,Los Angeles
187,187,31,2021-04-30,83.17650000000009,Los Angeles
192,192,32,2021-05-01,92.07630000000005,Los Angeles
198,198,33,2021-05-02,98.42529999999992,Los Angeles
205,205,34,2021-05-03,108.21449999999987,Los Angeles
210,210,35,2021-05-04,76.11389999999999,Los Angeles
216,216,36,2021-05-05,87.91489999999996,Los Angeles
222,222,37,2021-05-06,94.49670000000005,Los Angeles
229,229,38,2021-05-07,87.17790000000005,Los Angeles
234,234,39,2021-05-08,92.71150000000004,Los Angeles
240,240,40,2021-05-09,85.37259999999998,Los Angeles
246,246,41,2021-05-11,94.73269999999992,Los Angeles
253,253,42,2021-05-12,100.62329999999994,Los Angeles
258,258,43,2021-05-13,103.82169999999996,Los Angeles
264,264,44,2021-05-14,85.93969999999997,Los Angeles
271,271,45,2021-05-15,83.90429999999992,Los Angeles
277,277,46,2021-05-16,76.69849999999997,Los Angeles
282,282,47,2021-05-17,102.77779999999989,Los Angeles
289,289,48,2021-05-18,105.9310999999999,Los Angeles
295,295,49,2021-05-19,104.75579999999994,Los Angeles
300,300,50,2021-05-20,108.52839999999998,Los Angeles
307,307,51,2021-05-22,109.57729999999988,Los Angeles
312,312,52,2021-05-23,116.59469999999992,Los Angeles
319,319,53,2021-05-24,70.40229999999998,Los Angeles
324,324,54,2021-05-25,84.45629999999994,Los Angeles
330,330,55,2021-05-26,94.02019999999996,Los Angeles
337,337,56,2021-05-27,102.57689999999992,Los Angeles
342,342,57,2021-05-28,95.52099999999996,Los Angeles
348,348,58,2021-05-29,91.83629999999992,Los Angeles
355,355,59,2021-05-30,93.1391999999999,Los Angeles
360,360,60,2021-05-31,98.1531,Los Angeles
366,366,61,2021-06-02,89.90450000000001,Los Angeles
372,372,62,2021-06-03,94.4855,Los Angeles
378,378,63,2021-06-04,87.4874,Los Angeles
