,Unnamed: 0,int64_field_0,DateTime,Score,city
4,4,0,2021-03-26,72.17470000000003,Miami
10,10,1,2021-03-28,76.09420000000001,Miami
15,15,2,2021-03-29,65.54330000000004,Miami
22,22,3,2021-03-30,60.378700000000016,Miami
27,27,4,2021-03-31,61.07290000000001,Miami
33,33,5,2021-04-01,84.05709999999992,Miami
41,41,6,2021-04-02,89.13539999999993,Miami
45,45,7,2021-04-03,92.0659,Miami
51,51,8,2021-04-04,89.66769999999987,Miami
57,57,9,2021-04-05,98.39259999999987,Miami
63,63,10,2021-04-06,91.24479999999993,Miami
70,70,11,2021-04-08,72.64289999999998,Miami
76,76,12,2021-04-09,76.75130000000001,Miami
81,81,13,2021-04-10,79.8921,Miami
87,87,14,2021-04-11,76.09020000000001,Miami
93,93,15,2021-04-12,78.64859999999997,Miami
100,100,16,2021-04-13,77.89829999999996,Miami
105,105,17,2021-04-14,59.14429999999998,Miami
111,111,18,2021-04-15,67.94159999999991,Miami
118,118,19,2021-04-16,71.38609999999994,Miami
124,124,20,2021-04-17,86.00049999999996,Miami
129,129,21,2021-04-19,84.00089999999997,Miami
135,135,22,2021-04-20,81.57289999999996,Miami
141,141,23,2021-04-21,65.91149999999998,Miami
147,147,24,2021-04-22,66.22830000000002,Miami
154,154,25,2021-04-23,64.85830000000001,Miami
160,160,26,2021-04-24,70.28569999999998,Miami
165,165,27,2021-04-25,71.64049999999993,Miami
171,171,28,2021-04-26,74.3009999999999,Miami
178,178,29,2021-04-27,83.39959999999996,Miami
184,184,30,2021-04-28,85.8012,Miami
189,189,31,2021-04-30,84.19439999999993,Miami
195,195,32,2021-05-01,84.75810000000008,Miami
202,202,33,2021-05-02,85.94970000000005,Miami
208,208,34,2021-05-03,82.43910000000001,Miami
214,214,35,2021-05-04,76.06519999999999,Miami
219,219,36,2021-05-05,79.08909999999997,Miami
225,225,37,2021-05-06,86.05309999999999,Miami
231,231,38,2021-05-07,89.60039999999992,Miami
237,237,39,2021-05-08,89.64919999999992,Miami
243,243,40,2021-05-09,88.61689999999993,Miami
250,250,41,2021-05-11,72.67020000000002,Miami
255,255,42,2021-05-12,75.62440000000007,Miami
261,261,43,2021-05-13,76.58140000000002,Miami
267,267,44,2021-05-14,74.6551,Miami
274,274,45,2021-05-15,73.0468,Miami
280,280,46,2021-05-16,72.753,Miami
286,286,47,2021-05-17,60.76229999999997,Miami
291,291,48,2021-05-18,60.47680000000002,Miami
297,297,49,2021-05-19,60.845900000000015,Miami
303,303,50,2021-05-20,74.35590000000003,Miami
309,309,51,2021-05-22,78.00890000000001,Miami
315,315,52,2021-05-23,79.39789999999998,Miami
321,321,53,2021-05-24,90.48719999999992,Miami
327,327,54,2021-05-25,89.25859999999997,Miami
333,333,55,2021-05-26,89.26879999999996,Miami
339,339,56,2021-05-27,92.95660000000002,Miami
345,345,57,2021-05-28,96.5897,Miami
351,351,58,2021-05-29,97.7549,Miami
357,357,59,2021-05-30,109.19009999999996,Miami
363,363,60,2021-05-31,112.48789999999994,Miami
369,369,61,2021-06-02,113.65409999999996,Miami
375,375,62,2021-06-03,117.40989999999996,Miami
381,381,63,2021-06-04,114.22419999999994,Miami
387,387,64,2021-06-05,115.06739999999996,Miami
393,393,65,2021-06-06,111.46100000000004,Miami
399,399,66,2021-06-07,111.16700000000006,Miami
405,405,67,2021-06-08,109.72600000000004,Miami
411,411,68,2021-06-09,124.9015000000001,Miami
417,417,69,2021-06-10,126.53860000000012,Miami
423,423,70,2021-06-11,126.33020000000012,Miami
429,429,71,2021-06-13,127.55790000000006,Miami
435,435,72,2021-06-14,126.17280000000008,Miami
441,441,73,2021-06-15,124.96480000000008,Miami
447,447,74,2021-06-16,138.5893000000001,Miami
453,453,75,2021-06-17,136.0561000000001,Miami
459,459,76,2021-06-18,132.29990000000012,Miami
465,465,77,2021-06-19,131.60970000000015,Miami
471,471,78,2021-06-20,130.30140000000017,Miami
477,477,79,2021-06-21,129.43280000000016,Miami
483,483,80,2021-06-22,133.5966999999999,Miami
489,489,81,2021-06-24,132.6465999999999,Miami
495,495,82,2021-06-25,129.91799999999992,Miami
501,501,83,2021-06-26,143.78929999999966,Miami
507,507,84,2021-06-27,141.47019999999966,Miami
513,513,85,2021-06-28,143.8537999999997,Miami
519,519,86,2021-06-29,137.4889999999998,Miami
525,525,87,2021-06-30,141.81849999999977,Miami
531,531,88,2021-07-01,145.09979999999985,Miami
537,537,89,2021-07-02,157.87989999999994,Miami
543,543,90,2021-07-03,160.45289999999991,Miami
549,549,91,2021-07-05,156.3186999999999,Miami
555,555,92,2021-07-06,144.0918000000001,Miami
561,561,93,2021-07-07,145.0230000000001,Miami
567,567,94,2021-07-08,143.01110000000008,Miami
573,573,95,2021-07-09,145.45779999999976,Miami
579,579,96,2021-07-10,147.87619999999978,Miami
585,585,97,2021-07-11,141.2181999999998,Miami
591,591,98,2021-07-12,127.79729999999986,Miami
597,597,99,2021-07-13,127.99999999999989,Miami
603,603,100,2021-07-14,122.75959999999986,Miami
609,609,101,2021-07-16,122.72229999999992,Miami
615,615,102,2021-07-17,128.47589999999985,Miami
621,621,103,2021-07-18,126.91539999999983,Miami
627,627,104,2021-07-19,131.97709999999992,Miami
633,633,105,2021-07-20,130.48249999999987,Miami
639,639,106,2021-07-21,127.02299999999995,Miami
645,645,107,2021-07-22,129.72110000000004,Miami
651,651,108,2021-07-23,131.81750000000005,Miami
657,657,109,2021-07-24,134.46129999999997,Miami
663,663,110,2021-07-25,123.47239999999996,Miami
669,669,111,2021-07-27,122.94589999999997,Miami
675,675,112,2021-07-28,131.2066,Miami
681,681,113,2021-07-29,151.92259999999968,Miami
687,687,114,2021-07-30,153.54219999999972,Miami
693,693,115,2021-07-31,149.26249999999982,Miami
699,699,116,2021-08-01,134.5446,Miami
705,705,117,2021-08-02,136.31019999999995,Miami
711,711,118,2021-08-03,138.95879999999994,Miami
717,717,119,2021-08-04,144.63949999999977,Miami
723,723,120,2021-08-05,144.4850999999998,Miami
729,729,121,2021-08-07,132.46989999999994,Miami
735,735,122,2021-08-08,114.1768,Miami
