,Unnamed: 0,int64_field_0,DateTime,Score,city
5,5,0,2021-03-26,85.06949999999999,New York
9,9,1,2021-03-28,81.46439999999993,New York
14,14,2,2021-03-29,84.17330000000001,New York
20,20,3,2021-03-30,78.20869999999994,New York
26,26,4,2021-03-31,89.54809999999993,New York
32,32,5,2021-04-01,105.01309999999992,New York
38,38,6,2021-04-02,91.38899999999992,New York
44,44,7,2021-04-03,92.04369999999992,New York
50,50,8,2021-04-04,94.51979999999988,New York
56,56,9,2021-04-05,65.19189999999996,New York
62,62,10,2021-04-06,80.15090000000005,New York
68,68,11,2021-04-08,78.7743999999999,New York
74,74,12,2021-04-09,86.02550000000002,New York
80,80,13,2021-04-10,97.5695,New York
86,86,14,2021-04-11,97.93789999999996,New York
92,92,15,2021-04-12,91.81649999999982,New York
98,98,16,2021-04-13,72.53650000000003,New York
104,104,17,2021-04-14,57.89260000000006,New York
110,110,18,2021-04-15,75.79050000000007,New York
116,116,19,2021-04-16,85.28499999999995,New York
122,122,20,2021-04-17,92.613,New York
128,128,21,2021-04-19,87.5363999999998,New York
134,134,22,2021-04-20,81.78719999999994,New York
140,140,23,2021-04-21,87.82219999999998,New York
146,146,24,2021-04-22,77.80130000000004,New York
152,152,25,2021-04-23,83.48189999999991,New York
158,158,26,2021-04-24,85.12789999999997,New York
164,164,27,2021-04-25,97.35129999999998,New York
170,170,28,2021-04-26,83.1384,New York
176,176,29,2021-04-27,74.5028,New York
182,182,30,2021-04-28,78.49990000000005,New York
188,188,31,2021-04-30,79.67830000000004,New York
194,194,32,2021-05-01,78.4665,New York
200,200,33,2021-05-02,94.41659999999987,New York
206,206,34,2021-05-03,102.35339999999998,New York
212,212,35,2021-05-04,99.58489999999996,New York
218,218,36,2021-05-05,88.47329999999985,New York
224,224,37,2021-05-06,90.5193,New York
230,230,38,2021-05-07,92.24190000000004,New York
236,236,39,2021-05-08,86.41059999999997,New York
242,242,40,2021-05-09,89.4837999999999,New York
248,248,41,2021-05-11,85.45119999999999,New York
254,254,42,2021-05-12,76.50609999999993,New York
260,260,43,2021-05-13,64.20750000000004,New York
266,266,44,2021-05-14,73.65899999999995,New York
272,272,45,2021-05-15,71.20470000000003,New York
278,278,46,2021-05-16,78.38649999999987,New York
284,284,47,2021-05-17,82.22699999999989,New York
290,290,48,2021-05-18,54.03389999999997,New York
296,296,49,2021-05-19,64.70079999999993,New York
302,302,50,2021-05-20,71.88359999999999,New York
308,308,51,2021-05-22,75.5931,New York
314,314,52,2021-05-23,80.94969999999998,New York
320,320,53,2021-05-24,81.34129999999999,New York
326,326,54,2021-05-25,93.47749999999984,New York
332,332,55,2021-05-26,96.77879999999992,New York
338,338,56,2021-05-27,96.12659999999993,New York
344,344,57,2021-05-28,76.7246,New York
350,350,58,2021-05-29,73.16650000000008,New York
356,356,59,2021-05-30,73.85900000000012,New York
362,362,60,2021-05-31,86.40849999999993,New York
368,368,61,2021-06-02,83.3511,New York
374,374,62,2021-06-03,90.29419999999988,New York
380,380,63,2021-06-04,92.325,New York
386,386,64,2021-06-05,84.5941999999999,New York
392,392,65,2021-06-06,86.16589999999988,New York
398,398,66,2021-06-07,98.25090000000004,New York
404,404,67,2021-06-08,100.05079999999997,New York
410,410,68,2021-06-09,101.0608999999999,New York
416,416,69,2021-06-10,87.72199999999995,New York
422,422,70,2021-06-11,88.28739999999999,New York
428,428,71,2021-06-13,86.45979999999997,New York
434,434,72,2021-06-14,93.76069999999994,New York
440,440,73,2021-06-15,89.70259999999999,New York
446,446,74,2021-06-16,90.78359999999998,New York
452,452,75,2021-06-17,102.86309999999996,New York
458,458,76,2021-06-18,107.679,New York
464,464,77,2021-06-19,108.98289999999994,New York
470,470,78,2021-06-20,105.89749999999997,New York
476,476,79,2021-06-21,108.23089999999996,New York
