,Unnamed: 0,int64_field_0,DateTime,Score,city
3,3,0,2021-03-26,106.4853,Shanghai
11,11,1,2021-03-28,106.4853,Shanghai
16,16,2,2021-03-29,107.2714,Shanghai
23,23,3,2021-03-30,108.4297,Shanghai
28,28,4,2021-03-31,109.2797,Shanghai
35,35,5,2021-04-01,110.5329,Shanghai
40,40,6,2021-04-02,110.1436,Shanghai
47,47,7,2021-04-03,112.08149999999998,Shanghai
53,53,8,2021-04-04,112.26009999999997,Shanghai
59,59,9,2021-04-05,110.3309,Shanghai
65,65,10,2021-04-06,114.01149999999998,Shanghai
71,71,11,2021-04-08,114.7797,Shanghai
77,77,12,2021-04-09,116.4127,Shanghai
83,83,13,2021-04-10,115.82939999999998,Shanghai
89,89,14,2021-04-11,115.1855,Shanghai
95,95,15,2021-04-12,115.2367,Shanghai
101,101,16,2021-04-13,114.4395,Shanghai
107,107,17,2021-04-14,113.5995,Shanghai
113,113,18,2021-04-15,113.5995,Shanghai
119,119,19,2021-04-16,113.12740000000002,Shanghai
125,125,20,2021-04-17,113.2774,Shanghai
131,131,21,2021-04-19,110.83950000000004,Shanghai
137,137,22,2021-04-20,110.0963,Shanghai
143,143,23,2021-04-21,111.4819,Shanghai
149,149,24,2021-04-22,110.5826,Shanghai
155,155,25,2021-04-23,118.07139999999994,Shanghai
161,161,26,2021-04-24,117.58329999999994,Shanghai
167,167,27,2021-04-25,117.49359999999992,Shanghai
173,173,28,2021-04-26,117.9435999999999,Shanghai
179,179,29,2021-04-27,114.51119999999992,Shanghai
185,185,30,2021-04-28,114.42679999999991,Shanghai
191,191,31,2021-04-30,108.97669999999992,Shanghai
197,197,32,2021-05-01,108.62599999999992,Shanghai
203,203,33,2021-05-02,107.32019999999994,Shanghai
209,209,34,2021-05-03,106.84019999999994,Shanghai
215,215,35,2021-05-04,106.32819999999994,Shanghai
221,221,36,2021-05-05,106.32819999999994,Shanghai
227,227,37,2021-05-06,108.15339999999996,Shanghai
233,233,38,2021-05-07,108.15339999999996,Shanghai
239,239,39,2021-05-08,106.20919999999995,Shanghai
245,245,40,2021-05-09,106.83419999999995,Shanghai
251,251,41,2021-05-11,107.14969999999992,Shanghai
257,257,42,2021-05-12,106.39749999999992,Shanghai
263,263,43,2021-05-13,107.19159999999988,Shanghai
269,269,44,2021-05-14,108.26659999999988,Shanghai
275,275,45,2021-05-15,111.28299999999987,Shanghai
281,281,46,2021-05-16,111.72589999999988,Shanghai
287,287,47,2021-05-17,110.64419999999988,Shanghai
293,293,48,2021-05-18,110.78939999999989,Shanghai
299,299,49,2021-05-19,112.04799999999994,Shanghai
305,305,50,2021-05-20,112.46469999999994,Shanghai
311,311,51,2021-05-22,109.91259999999993,Shanghai
317,317,52,2021-05-23,109.86079999999993,Shanghai
323,323,53,2021-05-24,103.79909999999998,Shanghai
329,329,54,2021-05-25,104.24429999999998,Shanghai
335,335,55,2021-05-26,104.12539999999998,Shanghai
341,341,56,2021-05-27,105.05869999999996,Shanghai
347,347,57,2021-05-28,107.36389999999996,Shanghai
353,353,58,2021-05-29,107.52389999999995,Shanghai
359,359,59,2021-05-30,112.26259999999996,Shanghai
365,365,60,2021-05-31,112.41259999999996,Shanghai
371,371,61,2021-06-02,113.18149999999996,Shanghai
377,377,62,2021-06-03,113.06479999999996,Shanghai
383,383,63,2021-06-04,116.02339999999997,Shanghai
389,389,64,2021-06-05,116.03169999999996,Shanghai
395,395,65,2021-06-06,108.65649999999997,Shanghai
401,401,66,2021-06-07,108.03149999999997,Shanghai
407,407,67,2021-06-08,109.16159999999996,Shanghai
413,413,68,2021-06-09,109.06159999999996,Shanghai
419,419,69,2021-06-10,106.77039999999994,Shanghai
425,425,70,2021-06-11,106.48709999999994,Shanghai
431,431,71,2021-06-13,102.74579999999996,Shanghai
437,437,72,2021-06-14,102.98019999999995,Shanghai
443,443,73,2021-06-15,104.33659999999992,Shanghai
449,449,74,2021-06-16,104.33659999999992,Shanghai
455,455,75,2021-06-17,107.97709999999996,Shanghai
461,461,76,2021-06-18,108.39789999999996,Shanghai
467,467,77,2021-06-19,106.90809999999996,Shanghai
473,473,78,2021-06-20,106.43309999999995,Shanghai
479,479,79,2021-06-21,105.67909999999992,Shanghai
485,485,80,2021-06-22,105.82629999999992,Shanghai
491,491,81,2021-06-24,108.65779999999998,Shanghai
497,497,82,2021-06-25,109.6478,Shanghai
503,503,83,2021-06-26,112.47099999999992,Shanghai
509,509,84,2021-06-27,112.50429999999992,Shanghai
515,515,85,2021-06-28,113.0188999999999,Shanghai
521,521,86,2021-06-29,113.38279999999988,Shanghai
527,527,87,2021-06-30,115.22709999999988,Shanghai
533,533,88,2021-07-01,114.25159999999988,Shanghai
539,539,89,2021-07-02,109.61899999999989,Shanghai
545,545,90,2021-07-03,110.61899999999986,Shanghai
551,551,91,2021-07-05,109.99779999999986,Shanghai
557,557,92,2021-07-06,109.85719999999984,Shanghai
563,563,93,2021-07-07,106.70049999999986,Shanghai
569,569,94,2021-07-08,106.75049999999987,Shanghai
575,575,95,2021-07-09,107.58119999999988,Shanghai
581,581,96,2021-07-10,107.81069999999988,Shanghai
587,587,97,2021-07-11,108.88909999999989,Shanghai
593,593,98,2021-07-12,108.92819999999988,Shanghai
599,599,99,2021-07-13,108.09389999999988,Shanghai
