date,new
03-28,1082
03-29,808
03-30,998
03-31,1029
04-01,1544
04-02,1485
04-03,1293
04-04,962
04-05,1034
04-06,1177
04-07,1448
04-08,1598
04-09,1580
04-10,1620
04-11,1147
04-12,1115
04-13,1187
04-14,1324
04-15,1409
04-16,1566
04-17,1268
04-18,1052
04-19,858
04-20,1046
04-21,994
04-22,1262
04-23,1248
04-24,1235
04-25,828
04-26,838
04-27,972
04-28,931
04-29,1391
04-30,1165
05-01,1152
05-02,770
05-03,840
05-04,871
05-05,910
05-06,640
05-07,1372
05-08,675
05-09,758
05-10,661
05-11,547
05-12,621
05-13,762
05-14,744
05-15,575
05-16,548
05-17,437
05-18,577
05-19,620
05-20,663
05-21,681
05-22,510
05-23,444
05-24,471
05-25,298
05-26,446
05-27,411
05-28,435
05-29,290
05-30,283
05-31,242
06-01,210
06-02,198
06-03,266
06-04,214
06-05,209
06-06,149
06-07,98
06-08,135
06-09,149
06-10,144
06-11,158
06-12,88
06-13,116
06-14,52
06-15,74
06-16,131
06-17,72
06-18,22
06-19,0
06-20,0
06-21,228
06-22,58
06-23,69
06-24,73
06-25,86
06-26,0
06-27,0
06-28,170
06-29,66
06-30,50
07-01,123
07-02,49
07-03,0
07-04,0
07-05,0
07-06,325
07-07,92
07-08,150
07-09,182
07-10,0
07-11,0
07-12,364
07-13,108
07-14,169
07-15,218
07-16,147
07-17,0
07-18,0
07-19,839
07-20,117
07-21,271
07-22,520
07-23,493
07-24,0
07-25,0
07-26,1048
07-27,324
07-28,544
07-29,368
07-30,639
07-31,0
08-01,0
08-02,1689
08-03,686
08-04,519
08-05,887
08-06,950
08-07,0
08-08,0
08-09,2190
08-10,681
08-11,1033
08-12,719
08-13,871
08-14,0
08-15,0
08-16,2871
08-17,828
08-18,892
08-19,809
08-20,1311
08-21,0
08-22,0
08-23,2652
08-24,780
08-25,1153
08-26,1075
08-27,1412
08-28,0
08-29,0
08-30,2726
08-31,1225
09-01,1169
09-02,1031
09-03,1611
09-04,0
09-05,0
09-06,0
09-07,3240
09-08,1021
09-09,1116
09-10,1410
09-11,0
09-12,0
09-13,2413
09-14,1205
09-15,1000
09-16,1117
09-17,993
09-18,0
09-19,0
09-20,2476
09-21,758
09-22,939
09-23,938
09-24,949
09-25,0
09-26,0
09-27,1924
09-28,486
09-29,764
09-30,966
10-01,1026
10-02,0
10-03,0
10-04,2282
10-05,866
10-06,807
10-07,1090
10-08,828
10-09,0
10-10,0
10-11,0
10-12,2504
10-13,855
10-14,708
10-15,719
10-16,0
10-17,0
10-18,1937
10-19,692
10-20,793
10-21,690
10-22,888
10-23,0
10-24,0
10-25,1940
10-26,682
10-27,564
10-28,887
10-29,934
10-30,0
10-31,0
11-01,2244
11-02,743
11-03,362
11-04,1391
11-05,914
11-06,0
11-07,0
11-08,2485
11-09,551
11-10,1514
11-11,0
11-12,2725
11-13,0
11-14,0
11-15,2839
11-16,803
11-17,1618
11-18,1721
11-19,1838
11-20,0
11-21,0
11-22,3784
11-23,1446
11-24,1397
11-25,0
11-26,0
11-27,0
11-28,0
11-29,6320
11-30,1384
12-01,1534
12-02,3604
12-03,2341
12-04,0
12-05,0
12-06,6015
12-07,1754
12-08,1728
12-09,2841
12-10,2208
12-11,0
12-12,0
12-13,6787
12-14,2304
12-15,3473
12-16,4739
12-17,4633
12-18,0
12-19,0
12-20,15636
12-21,4446
12-21,4446
