date,new
03-28,454
03-29,414
03-30,386
03-31,585
04-01,642
04-02,637
04-03,0
04-04,0
04-05,1586
04-06,323
04-07,403
04-08,616
04-09,726
04-10,752
04-11,497
04-12,423
04-13,408
04-14,337
04-15,573
04-16,581
04-17,523
04-18,356
04-19,331
04-20,313
04-21,357
04-22,400
04-23,0
04-24,788
04-25,346
04-26,306
04-27,293
04-28,260
04-29,360
04-30,340
05-01,414
05-02,267
05-03,226
05-04,244
05-05,0
05-06,504
05-07,404
05-08,272
05-09,229
05-10,177
05-11,171
05-12,257
05-13,200
05-14,565
05-15,252
05-16,138
05-17,150
05-18,139
05-19,210
05-20,237
05-21,235
05-22,225
05-23,174
05-24,151
05-25,195
05-26,179
05-27,4032
05-28,193
05-29,181
05-30,170
05-31,172
06-01,116
06-02,105
06-03,198
06-04,211
06-05,233
06-06,203
06-07,134
06-08,175
06-09,159
06-10,198
06-11,163
06-12,174
06-13,6
06-14,307
06-15,204
06-16,192
06-17,201
06-18,0
06-19,328
06-20,257
06-21,126
06-22,165
06-23,252
06-24,254
06-25,322
06-26,328
06-27,239
06-28,268
06-29,303
06-30,365
07-01,500
07-02,519
07-03,589
07-04,455
07-05,436
07-06,367
07-07,430
07-08,850
07-09,1048
07-10,1123
07-11,1071
07-12,1057
07-13,1307
07-14,1076
07-15,96
07-16,3286
07-17,1777
07-18,1633
07-19,0
07-20,3319
07-21,2372
07-22,2703
07-23,0
07-24,5506
07-25,2084
07-26,1927
07-27,2319
07-28,2305
07-29,3188
07-30,3504
07-31,3226
08-01,3030
08-02,2361
08-03,2266
08-04,3686
08-05,4021
08-06,3815
08-07,3853
08-08,3016
08-09,3176
08-10,2752
08-11,3043
08-12,3806
08-13,3701
08-14,4184
08-15,3347
08-16,2701
08-17,3178
08-18,3648
08-19,2951
08-20,13703
08-21,3864
08-22,2771
08-23,2598
08-24,2888
08-25,2841
08-26,3119
08-27,2848
08-28,3357
08-29,2216
08-30,2334
08-31,1930
09-01,2367
09-02,2695
09-03,2475
09-04,2065
09-05,2111
09-06,1530
09-07,1056
09-08,2004
09-09,0
09-10,4197
09-11,0
09-12,0
09-13,5648
09-14,1698
09-15,1910
09-16,1938
09-17,1710
09-18,2087
09-19,1319
09-20,994
09-21,1227
09-22,1717
09-23,1858
09-24,1515
09-25,1560
09-26,1174
09-27,983
09-28,1120
09-29,1397
09-30,1510
10-01,1463
10-02,1368
10-03,1026
10-04,850
10-05,904
10-06,1455
10-07,1202
10-08,1184
10-09,1156
10-10,1039
10-11,816
10-12,774
10-13,991
10-14,0
10-15,2284
10-16,0
10-17,1097
10-18,895
10-19,1735
10-20,1235
10-21,1158
10-22,1217
10-23,1161
10-24,913
10-25,664
10-26,845
10-27,888
10-28,1878
10-29,1318
10-30,1408
10-31,1064
11-01,949
11-02,895
11-03,1579
11-04,1800
11-05,1518
11-06,1616
11-07,1149
11-08,988
11-09,1179
11-10,1462
11-11,1431
11-12,1337
11-13,1361
11-14,890
11-15,823
11-16,869
11-17,1266
11-18,1042
11-19,1577
11-20,1831
11-21,1049
11-22,723
11-23,693
11-24,1043
11-25,0
11-26,2054
11-27,618
11-28,574
11-29,786
11-30,860
12-01,1454
12-02,1940
12-03,1904
12-04,2290
12-05,1631
12-06,1099
12-07,1001
12-08,1749
12-09,1686
12-10,1898
12-11,1799
12-12,1459
12-13,1115
12-14,1139
12-15,1821
12-16,2249
12-17,3319
12-18,3692
12-19,3502
12-20,3254
12-21,3097
12-21,3097
