date,new
03-28,760
03-29,619
03-30,488
03-31,604
04-01,657
04-02,636
04-03,603
04-04,592
04-05,465
04-06,370
04-07,527
04-08,604
04-09,666
04-10,530
04-11,475
04-12,293
04-13,274
04-14,329
04-15,403
04-16,541
04-17,567
04-18,401
04-19,255
04-20,209
04-21,282
04-22,264
04-23,288
04-24,224
04-25,252
04-26,130
04-27,160
04-28,181
04-29,210
04-30,205
05-01,237
05-02,173
05-03,101
05-04,92
05-05,120
05-06,158
05-07,119
05-08,193
05-09,104
05-10,77
05-11,69
05-12,108
05-13,93
05-14,124
05-15,104
05-16,93
05-17,56
05-18,42
05-19,60
05-20,92
05-21,67
05-22,74
05-23,67
05-24,45
05-25,27
05-26,45
05-27,65
05-28,57
05-29,58
05-30,34
05-31,32
06-01,24
06-02,20
06-03,32
06-04,68
06-05,43
06-06,34
06-07,27
06-08,37
06-09,33
06-10,32
06-11,35
06-12,50
06-13,35
06-14,32
06-15,28
06-16,27
06-17,38
06-18,30
06-19,37
06-20,25
06-21,21
06-22,21
06-23,27
06-24,30
06-25,38
06-26,43
06-27,40
06-28,25
06-29,24
06-30,44
07-01,31
07-02,68
07-03,34
07-04,71
07-05,54
07-06,22
07-07,47
07-08,91
07-09,74
07-10,86
07-11,88
07-12,76
07-13,60
07-14,87
07-15,107
07-16,137
07-17,187
07-18,158
07-19,94
07-20,120
07-21,196
07-22,225
07-23,233
07-24,279
07-25,0
07-26,391
07-27,178
07-28,253
07-29,286
07-30,269
07-31,332
08-01,256
08-02,233
08-03,265
08-04,320
08-05,437
08-06,389
08-07,373
08-08,335
08-09,385
08-10,250
08-11,339
08-12,415
08-13,380
08-14,446
08-15,687
08-16,337
08-17,274
08-18,433
08-19,416
08-20,394
08-21,385
08-22,375
08-23,267
08-24,254
08-25,386
08-26,405
08-27,441
08-28,436
08-29,311
08-30,262
08-31,274
09-01,318
09-02,322
09-03,460
09-04,302
09-05,320
09-06,225
09-07,156
09-08,244
09-09,342
09-10,452
09-11,508
09-12,370
09-13,282
09-14,255
09-15,285
09-16,456
09-17,386
09-18,473
09-19,382
09-20,232
09-21,285
09-22,296
09-23,335
09-24,328
09-25,298
09-26,262
09-27,207
09-28,251
09-29,259
09-30,258
10-01,259
10-02,268
10-03,195
10-04,213
10-05,204
10-06,213
10-07,268
10-08,247
10-09,231
10-10,130
10-11,240
10-12,160
10-13,173
10-14,211
10-15,261
10-16,250
10-17,184
10-18,101
10-19,174
10-20,152
10-21,188
10-22,132
10-23,166
10-24,143
10-25,155
10-26,103
10-27,139
10-28,235
10-29,141
10-30,183
10-31,161
11-01,115
11-02,105
11-03,120
11-04,188
11-05,191
11-06,258
11-07,217
11-08,157
11-09,157
11-10,221
11-11,259
11-12,257
11-13,311
11-14,195
11-15,213
11-16,174
11-17,251
11-18,298
11-19,326
11-20,333
11-21,350
11-22,259
11-23,264
11-24,287
11-25,329
11-26,271
11-27,211
11-28,322
11-29,229
11-30,265
12-01,369
12-02,510
12-03,393
12-04,437
12-05,488
12-06,239
12-07,362
12-08,556
12-09,697
12-10,739
12-11,952
12-12,923
12-13,810
12-14,686
12-15,1507
12-16,2615
12-17,3514
12-18,3768
12-19,3763
12-20,5681
12-21,4161
12-21,4161
