date,housing
2020/1/1,178.9230935
2020/1/2,121.5844648
2020/1/3,235.3152695
2020/1/4,135.5079284
2020/1/5,215.7350807
2020/1/6,136.0649443
2020/1/7,195.5796512
2020/1/8,184.2547323
2020/1/9,216.5478615
2020/1/10,189.9708323
2020/1/11,137.2586883
2020/1/12,156.0215565
2020/1/13,239.5535625
2020/1/14,220.8340452
2020/1/15,113.188343
2020/1/16,186.6984537
2020/1/17,168.384981
2020/1/18,174.8622103
2020/1/19,110.9748124
2020/1/20,163.8702506
2020/1/21,127.0558255
2020/1/22,160.0163334
2020/1/23,220.5223691
2020/1/24,238.0225593
2020/1/25,140.47781
2020/1/26,121.5832848
2020/1/27,201.0692919
2020/1/28,200.460624
2020/1/29,240.8025917
2020/1/30,120.4482528
2020/1/31,175.6703967
2020/2/1,167.5674818
2020/2/2,238.6191266
2020/2/3,148.9396549
2020/2/4,201.05866
2020/2/5,176.0349515
2020/2/6,154.1063618
2020/2/7,249.6197767
2020/2/8,206.4008099
2020/2/9,205.1714789
2020/2/10,246.2625714
2020/2/11,130.6101983
2020/2/12,111.1194442
2020/2/13,224.1476133
2020/2/14,112.9520714
2020/2/15,218.0041777
2020/2/16,150.7326298
2020/2/17,208.3125307
2020/2/18,110.2523397
2020/2/19,205.4768085
2020/2/20,111.7228502
2020/2/21,117.3318458
2020/2/22,128.1713993
2020/2/23,153.7576484
2020/2/24,205.2458956
2020/2/25,211.1239152
2020/2/26,224.8792449
2020/2/27,238.9606753
2020/2/28,187.2067649
2020/3/1,217.417375
2020/3/2,122.4569424
2020/3/3,207.0537784
2020/3/4,194.9244367
2020/3/5,135.9667729
2020/3/6,207.9265934
2020/3/7,148.1090498
2020/3/8,149.639008
2020/3/9,121.0934394
2020/3/10,249.5650454
2020/3/11,169.1937456
2020/3/12,134.7092793
2020/3/13,172.2248279
2020/3/14,140.6452972
2020/3/15,208.2281788
2020/3/16,112.4640223
2020/3/17,183.9474208
2020/3/18,219.7486317
2020/3/19,134.3740859
2020/3/20,188.5559395
2020/3/21,146.248914
2020/3/22,245.9930552
2020/3/23,134.5383458
2020/3/24,192.9613609
2020/3/25,225.1909054
2020/3/26,180.0089601
2020/3/27,166.5141199
2020/3/28,113.3282408
2020/3/29,174.1640115
2020/3/30,217.7097312
2020/3/31,111.7440964
