date,housing
2020/1/1,154.8546602
2020/1/2,170.6047112
2020/1/3,132.8256808
2020/1/4,168.3138985
2020/1/5,215.159192
2020/1/6,176.1429757
2020/1/7,143.3251936
2020/1/8,182.4121526
2020/1/9,153.2782524
2020/1/10,209.010675
2020/1/11,179.6066898
2020/1/12,201.5271465
2020/1/13,158.6941034
2020/1/14,155.2883373
2020/1/15,278.231451
2020/1/16,210.6102029
2020/1/17,217.4089701
2020/1/18,148.2168465
2020/1/19,191.7134446
2020/1/20,219.3683166
2020/1/21,155.8002774
2020/1/22,151.2005167
2020/1/23,160.1415088
2020/1/24,167.3524543
2020/1/25,163.2883725
2020/1/26,144.3236341
2020/1/27,171.1822686
2020/1/28,197.4702476
2020/1/29,149.8712913
2020/1/30,128.7438557
2020/1/31,143.3792629
2020/2/1,112.321321
2020/2/2,159.1356507
2020/2/3,200.9820156
2020/2/4,122.2222129
2020/2/5,153.2581053
2020/2/6,139.5921357
2020/2/7,124.1657512
2020/2/8,125.3103313
2020/2/9,127.6035941
2020/2/10,153.341588
2020/2/11,163.7792106
2020/2/12,129.7173861
2020/2/13,176.1783995
2020/2/14,139.8075706
2020/2/15,123.5669828
2020/2/16,161.5795074
2020/2/17,190
2020/2/18,208.5626583
2020/2/19,150.7130228
2020/2/20,139.8814105
2020/2/21,164.9203968
2020/2/22,207.3890602
2020/2/23,155.40995
2020/2/24,164.0288202
2020/2/25,212.142126
2020/2/26,166.2596325
2020/2/27,149.8809863
2020/2/28,217.8747804
2020/3/1,180.2836356
2020/3/2,156.7675099
2020/3/3,192.5246844
2020/3/4,171.6644463
2020/3/5,139.7682416
2020/3/6,162.8688299
2020/3/7,194.5133581
2020/3/8,209.9324593
2020/3/9,201.020979
2020/3/10,184.4942289
2020/3/11,186.8691589
2020/3/12,189.6199214
2020/3/13,176.7081633
2020/3/14,210.4327191
2020/3/15,168.1
2020/3/16,181.9246098
2020/3/17,128.2052241
2020/3/18,139.7091986
2020/3/19,176.6032718
2020/3/20,168.844069
2020/3/21,128.3641453
2020/3/22,200.8641426
2020/3/23,181.417299
2020/3/24,156.9993358
2020/3/25,154.5111509
2020/3/26,176.9987003
2020/3/27,174.6501557
2020/3/28,165.5798504
2020/3/29,152.6073327
2020/3/30,122.0093454
2020/3/31,128.3478756
2020/4/1,200.8551234
2020/4/2,150.3942412
2020/4/3,183.4082349
2020/4/4,123.6788011
2020/4/5,153.4849756
2020/4/6,161.5850085
2020/4/7,180.3633498
2020/4/8,180.7932583
2020/4/9,211.7787656
2020/4/10,180.1545149
2020/4/11,209.2077001
2020/4/12,135.7753678
2020/4/13,180.8837634
2020/4/14,204.4682769
2020/4/15,180.2199562
2020/4/16,152.9829663
2020/4/17,164.6139068
2020/4/18,121.9094496
2020/4/19,147.4809838
2020/4/20,123.1013414
2020/4/21,160.3042991
2020/4/22,143.5222604
2020/4/23,127.4623734
2020/4/24,155.1928391
2020/4/25,203.6337232
2020/4/26,140.2848576
2020/4/27,211.3717244
2020/4/28,203.4205315
2020/4/29,175.531269
2020/4/30,130.4226027
2020/5/1,185.537356
2020/5/2,158.9154504
2020/5/3,209.1136766
2020/5/4,170.1944672
2020/5/5,122.7309755
2020/5/6,208.8236115
2020/5/7,219.397398
2020/5/8,145.321321
2020/5/9,110.321321
2020/5/10,183.5341857
2020/5/11,216.0456307
2020/5/12,147.1179969
2020/5/13,145.4288513
2020/5/14,186.8657764
2020/5/15,166.2448202
2020/5/16,180.8445393
2020/5/17,218.7373494
2020/5/18,196.5049183
2020/5/19,208.5530533
2020/5/20,125.7421546
2020/5/21,144.2365198
2020/5/22,140.7104789
2020/5/23,207.9169978
2020/5/24,143.5259385
2020/5/25,148.7292298
2020/5/26,169.3177268
2020/5/27,101.123457
2020/5/28,130.0623285
2020/5/29,170.2925915
2020/5/30,166.934328
2020/5/31,175.7944672
2020/6/1,191.0293502
2020/6/2,186.6092724
2020/6/3,206.4897373
2020/6/4,188.7143735
2020/6/5,148.9177027
2020/6/6,151.4916451
2020/6/7,164.4676971
2020/6/8,185.4309955
2020/6/9,132.0268574
2020/6/10,130.3437375
2020/6/11,253.4343256
2020/6/12,172.176775
2020/6/13,202.0461871
2020/6/14,210.7515845
2020/6/15,209.1246493
2020/6/16,218.8590735
2020/6/17,201.7291808
2020/6/18,138.1392321
2020/6/19,214.1960517
2020/6/20,124.1157804
2020/6/21,128.18621
2020/6/22,161.7731541
2020/6/23,176.1901481
2020/6/24,202.1669507
2020/6/25,142.6269347
2020/6/26,122.6620441
2020/6/27,207.244004
2020/6/28,130.1956982
2020/6/29,125.532927
2020/6/30,151.4250699
2020/7/1,212.6143187
2020/7/2,130.7153762
2020/7/3,172.1822084
2020/7/4,219.9510704
2020/7/5,343.657868
2020/7/6,151.3955159
2020/7/7,213.2465202
2020/7/8,164.0096441
2020/7/9,176.8756905
2020/7/10,154.4352234
2020/7/11,178.7728806
2020/7/12,135.8559848
2020/7/13,263.2314
2020/7/14,156.2893499
2020/7/15,192.8509606
2020/7/16,178.5092202
2020/7/17,145.136014
2020/7/18,212.1272691
2020/7/19,196.7000059
2020/7/20,150.0300417
2020/7/21,142.2474415
2020/7/22,190.3285086
2020/7/23,169.5080432
2020/7/24,173.1132634
2020/7/25,155.7725319
2020/7/26,161.0535429
2020/7/27,133.5851695
2020/7/28,122.2160837
2020/7/29,181.1480005
2020/7/30,212.0889442
2020/7/31,198.8903855
2020/8/1,148.769774
2020/8/2,167.651224
2020/8/3,159.4253556
2020/8/4,159.9361034
2020/8/5,151.2402919
2020/8/6,160.6522977
2020/8/7,215.1485618
2020/8/8,137.3690099
2020/8/9,210.3581204
2020/8/10,133.7103015
2020/8/11,134.3635598
2020/8/12,137.8285163
2020/8/13,193.5011007
2020/8/14,158.0806464
2020/8/15,184.5913397
2020/8/16,141.1314455
2020/8/17,187.9565401
2020/8/18,197.9447318
2020/8/19,208.5559814
2020/8/20,159.2971089
2020/8/21,167.3634831
2020/8/22,206.5836828
2020/8/23,209.8343609
2020/8/24,126.603173
2020/8/25,150.937991
2020/8/26,143.6851632
2020/8/27,155.4714032
2020/8/28,204.1365974
2020/8/29,210.7711554
2020/8/30,209.2481994
2020/8/31,193.0406865
2020/9/1,208.1782456
2020/9/2,131.1221972
2020/9/3,196.1313611
2020/9/4,141.9734271
2020/9/5,196.703061
2020/9/6,153.749581
2020/9/7,213.4281352
2020/9/8,190.6187398
2020/9/9,140.9914849
2020/9/10,144.4977414
2020/9/11,213.156678
2020/9/12,143.6654296
2020/9/13,206.5759434
2020/9/14,178.3198966
2020/9/15,171.9988414
2020/9/16,172.0409697
2020/9/17,174.7425932
2020/9/18,168.4769359
2020/9/19,206.1618611
2020/9/20,142.2358753
2020/9/21,140.1227286
2020/9/22,154.8830595
2020/9/23,192.7030732
2020/9/24,165.0625259
2020/9/25,149.7760167
2020/9/26,197.2136081
2020/9/27,215.1580676
2020/9/28,197.3459591
2020/9/29,127.05982
2020/9/30,151.2579942
2020/10/1,136.4174003
2020/10/2,181.4331633
2020/10/3,179.9639149
2020/10/4,130.6308363
2020/10/5,132.3863666
2020/10/6,175.201735
2020/10/7,162.8092154
2020/10/8,146.516224
2020/10/9,209.5749116
2020/10/10,210.9240266
2020/10/11,198.2199114
2020/10/12,206.7588256
2020/10/13,132.5967206
2020/10/14,162.4963431
2020/10/15,207.7027502
2020/10/16,182.9065238
2020/10/17,218.5233159
2020/10/18,162.777226
2020/10/19,144.5164065
2020/10/20,175.5642367
2020/10/21,185.0285057
2020/10/22,155.766918
2020/10/23,161.5748788
2020/10/24,219.8238998
2020/10/25,167.3977457
2020/10/26,131.031564
2020/10/27,195.7071931
2020/10/28,207.7924448
2020/10/29,138.5308325
2020/10/30,197.3541386
2020/10/31,163.5774744
2020/11/1,175.8652709
2020/11/2,166.9101324
2020/11/3,213.0975768
2020/11/4,156.5583942
2020/11/5,169.2267305
2020/11/6,163.0135137
2020/11/7,206.0676718
2020/11/8,153.8255905
2020/11/9,153.1170543
2020/11/10,160.7308504
2020/11/11,184.8574945
2020/11/12,154.7615775
2020/11/13,120.1434727
2020/11/14,197.4570598
2020/11/15,150.9342683
2020/11/16,175.2866572
2020/11/17,159.4949942
2020/11/18,156.7434632
2020/11/19,208.7412441
2020/11/20,128.0529938
2020/11/21,129.2622941
2020/11/22,149.1916538
2020/11/23,156.5588695
2020/11/24,209.4284104
2020/11/25,176.3527159
2020/11/26,159.406136
2020/11/27,197.6083732
2020/11/28,167.6125019
2020/11/29,159.2712995
2020/11/30,170.978337
2020/12/1,206.4941342
2020/12/2,156.3365406
2020/12/3,192.2956458
2020/12/4,219.0392271
2020/12/5,209.8012326
2020/12/6,164.3798746
2020/12/7,200.5361413
2020/12/8,136.3090702
2020/12/9,202.7196099
2020/12/10,175.4283731
2020/12/11,189.9935668
2020/12/12,162.47073
2020/12/13,145.087683
2020/12/14,163.1953869
2020/12/15,189.6109574
2020/12/16,182.7584269
2020/12/17,214.5871442
2020/12/18,209.4991887
2020/12/19,120.8669352
2020/12/20,196.672441
2020/12/21,148.7394082
2020/12/22,137.7821702
2020/12/23,124.7935824
2020/12/24,130.243123
2020/12/25,159.4617309
2020/12/26,186.1886046
2020/12/27,135.2063699
2020/12/28,167.6507526
2020/12/29,160.0137658
2020/12/30,140.4039462
2020/12/31,146.7391886
